,label
CDLSPINNINGTOP_bearish_20.png,CDLSPINNINGTOP_bearish
CDLBELTHOLD_bullish_21.png,CDLBELTHOLD_bullish
CDLHIKKAKE_bearish_22.png,CDLHIKKAKE_bearish
CDLCLOSINGMARUBOZU_bullish_23.png,CDLCLOSINGMARUBOZU_bullish
CDLBELTHOLD_bullish_24.png,CDLBELTHOLD_bullish
CDLADVANCEBLOCK_bearish_25.png,CDLADVANCEBLOCK_bearish
CDLBELTHOLD_bullish_26.png,CDLBELTHOLD_bullish
CDLBELTHOLD_bullish_28.png,CDLBELTHOLD_bullish
CDLDOJI_bullish_29.png,CDLDOJI_bullish
CDLBELTHOLD_bullish_31.png,CDLBELTHOLD_bullish
CDLBELTHOLD_bullish_32.png,CDLBELTHOLD_bullish
CDLSHOOTINGSTAR_bearish_33.png,CDLSHOOTINGSTAR_bearish
CDLHIKKAKE_bearish_34.png,CDLHIKKAKE_bearish
CDLDOJI_bullish_35.png,CDLDOJI_bullish
CDLDOJI_bullish_36.png,CDLDOJI_bullish
CDLLONGLINE_bullish_37.png,CDLLONGLINE_bullish
CDLBELTHOLD_bearish_38.png,CDLBELTHOLD_bearish
CDL3OUTSIDE_bearish_39.png,CDL3OUTSIDE_bearish
CDLBELTHOLD_bullish_41.png,CDLBELTHOLD_bullish
CDLHARAMI_bearish_42.png,CDLHARAMI_bearish
CDLHIKKAKE_bearish_43.png,CDLHIKKAKE_bearish
CDLSHORTLINE_bearish_44.png,CDLSHORTLINE_bearish
CDLBELTHOLD_bullish_45.png,CDLBELTHOLD_bullish
CDLSHOOTINGSTAR_bearish_46.png,CDLSHOOTINGSTAR_bearish
CDLHIKKAKE_bullish_48.png,CDLHIKKAKE_bullish
CDLBELTHOLD_bullish_49.png,CDLBELTHOLD_bullish
CDLBELTHOLD_bullish_50.png,CDLBELTHOLD_bullish
CDLSHORTLINE_bearish_51.png,CDLSHORTLINE_bearish
CDLBELTHOLD_bullish_52.png,CDLBELTHOLD_bullish
CDLDOJI_bullish_53.png,CDLDOJI_bullish
CDL3INSIDE_bearish_54.png,CDL3INSIDE_bearish
CDLHARAMI_bullish_55.png,CDLHARAMI_bullish
CDLDOJI_bullish_56.png,CDLDOJI_bullish
CDLBELTHOLD_bullish_57.png,CDLBELTHOLD_bullish
CDLDOJI_bullish_58.png,CDLDOJI_bullish
CDLDOJI_bullish_59.png,CDLDOJI_bullish
CDLBELTHOLD_bullish_60.png,CDLBELTHOLD_bullish
CDLBELTHOLD_bullish_62.png,CDLBELTHOLD_bullish
CDLMATCHINGLOW_bullish_64.png,CDLMATCHINGLOW_bullish
CDLDOJI_bullish_65.png,CDLDOJI_bullish
CDLHIKKAKE_bullish_66.png,CDLHIKKAKE_bullish
CDLSPINNINGTOP_bullish_67.png,CDLSPINNINGTOP_bullish
CDLBELTHOLD_bullish_68.png,CDLBELTHOLD_bullish
CDLSHORTLINE_bullish_69.png,CDLSHORTLINE_bullish
CDLBELTHOLD_bearish_70.png,CDLBELTHOLD_bearish
CDLSHORTLINE_bearish_71.png,CDLSHORTLINE_bearish
CDLBELTHOLD_bearish_72.png,CDLBELTHOLD_bearish
CDLBELTHOLD_bearish_73.png,CDLBELTHOLD_bearish
CDLBELTHOLD_bullish_74.png,CDLBELTHOLD_bullish
CDLBELTHOLD_bearish_76.png,CDLBELTHOLD_bearish
CDLCLOSINGMARUBOZU_bullish_77.png,CDLCLOSINGMARUBOZU_bullish
CDLHARAMI_bearish_78.png,CDLHARAMI_bearish
CDLDOJI_bullish_80.png,CDLDOJI_bullish
CDLHIKKAKE_bearish_81.png,CDLHIKKAKE_bearish
CDLDOJI_bullish_82.png,CDLDOJI_bullish
CDLSHORTLINE_bearish_83.png,CDLSHORTLINE_bearish
CDLBELTHOLD_bearish_84.png,CDLBELTHOLD_bearish
CDLDOJI_bullish_86.png,CDLDOJI_bullish
